Date,OAT,HWST,HWRT,HWDP,HWDPSPT,P1VFD,P2VFD
16-Feb-19 12:00:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 12:00:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 12:00:02 AM CST,nan,nan,nan,9.91,nan,nan,nan
16-Feb-19 12:00:02 AM CST,nan,nan,nan,nan,nan,72.52,nan
16-Feb-19 12:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 12:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 12:00:03 AM CST,14.5,nan,nan,nan,nan,nan,nan
16-Feb-19 12:15:03 AM CST,nan,170,nan,nan,nan,nan,nan
16-Feb-19 12:15:03 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 12:15:03 AM CST,nan,nan,nan,10.01,nan,nan,nan
16-Feb-19 12:15:03 AM CST,nan,nan,nan,nan,nan,71.99,nan
16-Feb-19 12:15:03 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 12:15:03 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 12:15:03 AM CST,15.1,nan,nan,nan,nan,nan,nan
16-Feb-19 12:30:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 12:30:02 AM CST,nan,nan,169,nan,nan,nan,nan
16-Feb-19 12:30:02 AM CST,nan,nan,nan,10.1,nan,nan,nan
16-Feb-19 12:30:02 AM CST,nan,nan,nan,nan,nan,70.92,nan
16-Feb-19 12:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 12:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 12:30:03 AM CST,15.6,nan,nan,nan,nan,nan,nan
16-Feb-19 12:45:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 12:45:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 12:45:02 AM CST,nan,nan,nan,9.97,nan,nan,nan
16-Feb-19 12:45:02 AM CST,nan,nan,nan,nan,nan,71.64,nan
16-Feb-19 12:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 12:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 12:45:03 AM CST,15.3,nan,nan,nan,nan,nan,nan
16-Feb-19 1:00:02 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 1:00:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 1:00:02 AM CST,nan,nan,nan,9.97,nan,nan,nan
16-Feb-19 1:00:02 AM CST,nan,nan,nan,nan,nan,71.64,nan
16-Feb-19 1:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 1:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 1:00:03 AM CST,15.2,nan,nan,nan,nan,nan,nan
16-Feb-19 1:15:02 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 1:15:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 1:15:02 AM CST,nan,nan,nan,9.96,nan,nan,nan
16-Feb-19 1:15:03 AM CST,nan,nan,nan,nan,nan,71.86,nan
16-Feb-19 1:15:03 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 1:15:03 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 1:15:03 AM CST,15.3,nan,nan,nan,nan,nan,nan
16-Feb-19 1:30:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 1:30:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 1:30:02 AM CST,nan,nan,nan,10.05,nan,nan,nan
16-Feb-19 1:30:02 AM CST,nan,nan,nan,nan,nan,71.46,nan
16-Feb-19 1:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 1:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 1:30:03 AM CST,15.5,nan,nan,nan,nan,nan,nan
16-Feb-19 1:45:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 1:45:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 1:45:02 AM CST,nan,nan,nan,10.01,nan,nan,nan
16-Feb-19 1:45:02 AM CST,nan,nan,nan,nan,nan,71.97,nan
16-Feb-19 1:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 1:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 1:45:03 AM CST,14.7,nan,nan,nan,nan,nan,nan
16-Feb-19 2:00:02 AM CST,nan,165,nan,nan,nan,nan,nan
16-Feb-19 2:00:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 2:00:02 AM CST,nan,nan,nan,10,nan,nan,nan
16-Feb-19 2:00:02 AM CST,nan,nan,nan,nan,nan,72.11,nan
16-Feb-19 2:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 2:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 2:00:03 AM CST,14.3,nan,nan,nan,nan,nan,nan
16-Feb-19 2:15:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 2:15:02 AM CST,nan,nan,169,nan,nan,nan,nan
16-Feb-19 2:15:02 AM CST,nan,nan,nan,10.12,nan,nan,nan
16-Feb-19 2:15:02 AM CST,nan,nan,nan,nan,nan,70.96,nan
16-Feb-19 2:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 2:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 2:15:03 AM CST,14.1,nan,nan,nan,nan,nan,nan
16-Feb-19 2:30:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 2:30:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 2:30:02 AM CST,nan,nan,nan,10.01,nan,nan,nan
16-Feb-19 2:30:02 AM CST,nan,nan,nan,nan,nan,71.71,nan
16-Feb-19 2:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 2:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 2:30:03 AM CST,13.5,nan,nan,nan,nan,nan,nan
16-Feb-19 2:45:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 2:45:02 AM CST,nan,nan,166,nan,nan,nan,nan
